Año,Mes,Temp. Media,,,
2008,1,16.2,,,
2008,2,18.1,,,
2008,3,19.7,,,
2008,4,22.5,,,
2008,5,24.8,,,
2008,6,26.1,,,
2008,7,24.9,,,
2008,8,25.7,,,
2008,9,24.3,,,
2008,10,22.1,,,
2008,11,18.6,,,
2008,12,16.3,,,
2009,1,15.9,,,
2009,2,16.8,,,
2009,3,19.1,,,
2009,4,22.0,,,
2009,5,24.8,,,
2009,6,26.2,,,
2009,7,25.3,,,
2009,8,26.0,,,
2009,9,24.7,,,
2009,10,22.1,,,
2009,11,18.4,,,
2009,12,16.1,,,
2010,1,15.6,,,
2010,2,16.4,,,
2010,3,19.6,,,
2010,4,22.7,,,
2010,5,24.8,,,
2010,6,26.1,,,
2010,7,25.5,,,
2010,8,25.7,,,
2010,9,24.8,,,
2010,10,21.9,,,
2010,11,18.4,,,
2010,12,16.2,,,
2011,1,16.3,,,
2011,2,17.1,,,
2011,3,20.3,,,
2011,4,23.0,,,
2011,5,25.0,,,
2011,6,26.0,,,
2011,7,25.6,,,
2011,8,25.8,,,
2011,9,24.7,,,
2011,10,22.4,,,
2011,11,18.9,,,
2011,12,16.9,,,
2012,1,16.3,,,
2012,2,17.4,,,
2012,3,19.7,,,
2012,4,22.5,,,
2012,5,24.6,,,
2012,6,26.3,,,
2012,7,25.4,,,
2012,8,25.8,,,
2012,9,24.4,,,
2012,10,22.6,,,
2012,11,19.2,,,
2012,12,17.1,,,
2013,1,15.9,,,
2013,2,17.8,,,
2013,3,19.8,,,
2013,4,22.6,,,
2013,5,24.4,,,
2013,6,26.6,,,
2013,7,25.5,,,
2013,8,25.6,,,
2013,9,24.3,,,
2013,10,22.4,,,
2013,11,19.1,,,
2013,12,16.7,,,
2014,1,16.1,,,
2014,2,18.7,,,
2014,3,20.3,,,
2014,4,22.4,,,
2014,5,24.1,,,
2014,6,24.1,,,
2014,7,25.8,,,
2014,8,25.7,,,
2014,9,24.7,,,
2014,10,23.0,,,
2014,11,18.2,,,
2014,12,16.8,,,
2015,1,16.1,,,
2015,2,17.7,,,
2015,3,19.2,,,
2015,4,22.4,,,
2015,5,23.7,,,
2015,6,25.5,,,
2015,7,25.6,,,
2015,8,26.1,,,
2015,9,25.1,,,
2015,10,23.1,,,
2015,11,20.1,,,
2015,12,17.3,,,
2016,1,15.4,,,
2016,2,18.1,,,
2016,3,20.4,,,
2016,4,22.7,,,
2016,5,24.9,,,
2016,6,26.1,,,
2016,7,25.6,,,
2016,8,25.6,,,
2016,9,24.8,,,
2016,10,23.4,,,
2016,11,20.1,,,
2016,12,18.6,,,
2017,1,17.2,,,
2017,2,19.1,,,
2017,3,21.2,,,
2017,4,23.0,,,
2017,5,24.9,,,
2017,6,26.7,,,
2017,7,25.9,,,
2017,8,25.9,,,
2017,9,24.6,,,
2017,10,22.9,,,
2017,11,20.4,,,
2017,12,17.3,,,
2018,1,15.9,,,
2018,2,19.2,,,
2018,3,21.1,,,
2018,4,22.7,,,
2018,5,25.2,,,
2018,6,26.4,,,
2018,7,26.4,,,
2018,8,25.9,,,
2018,9,24.9,,,
2018,10,22.5,,,
2018,11,18.7,,,
2018,12,16.4,,,
2019,1,16.6,,,
2019,2,18.6,,,
2019,3,20.5,,,
2019,4,22.5,,,
2019,5,24.8,,,
2019,6,26.6,,,
2019,7,26.5,,,
2019,8,27.0,,,
2019,9,25.2,,,
2019,10,22.9,,,
2019,11,20.0,,,
2019,12,17.1,,,
2020,1,16.9,,,
2020,2,18.0,,,
2020,3,21.3,,,
2020,4,23.6,,,
2020,5,25.2,,,
2020,6,26.3,,,
2020,7,26.7,,,
2020,8,26.6,,,
2020,9,24.9,,,
2020,10,23.1,,,
2020,11,20.4,,,
2020,12,16.3,,,
2021,1,16.4,,,
2021,2,18.0,,,
2021,3,20.3,,,
2021,4,23.0,,,
2021,5,24.8,,,
2021,6,26.0,,,
2021,7,25.7,,,
2021,8,25.8,,,
2021,9,25.0,,,
2021,10,23.1,,,
2021,11,19.8,,,
2021,12,18.7,,,
2022,1,16.6,,,
2022,2,17.0,,,
2022,3,19.8,,,
2022,4,23.4,,,
2022,5,25.7,,,
2022,6,26.4,,,
2022,7,26.6,,,
2022,8,25.9,,,
2022,9,24.5,,,
2022,10,22.1,,,
2022,11,19.1,,,
2022,12,17.3,,,
2023,1,17.1,,,
2023,2,18.0,,,
2023,3,20.9,,,
2023,4,22.5,,,
2023,5,24.6,,,
2023,6,27.4,,,
2023,7,27.6,,,
2023,8,27.2,,,
2023,9,26.4,,,
2023,10,23.6,,,
2023,11,19.9,,,
2023,12,17.0,,,
